term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0007187,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",0.046%,-5.098,-1.935,3.771,-1.7399,0.776,0.381,7187,0
GO:0030030,"cell projection organization",0.608%, 2.568, 5.273,4.892,-11.0731,0.710,0.394,30030,0
GO:0019932,"second-messenger-mediated signaling",0.079%,-5.506,-1.692,4.005,-2.8175,0.766,0.397,19932,0
GO:0042221,"response to chemical",3.071%,-6.704,-1.024,5.595,-7.8794,0.877,0.418,42221,0
GO:0007268,"chemical synaptic transmission",0.187%,-3.835, 1.820,4.381,-7.4012,0.732,0.426,7268,0
GO:0098916,"anterograde trans-synaptic signaling",0.187%,null,null,4.381,-7.4012,0.732,0.998,7268,1
GO:0050804,"modulation of synaptic transmission",0.057%,null,null,3.866,-2.8454,0.727,0.912,7268,1
GO:0099537,"trans-synaptic signaling",0.188%,null,null,4.382,-7.3615,0.732,0.998,7268,1
GO:0099536,"synaptic signaling",0.188%,null,null,4.383,-7.0066,0.739,0.873,7268,1
GO:0009605,"response to external stimulus",1.370%,-6.789,-0.707,5.245,-7.2426,0.885,0.475,9605,0
GO:0007186,"G-protein coupled receptor signaling pathway",0.882%,-5.266,-2.131,5.054,-3.9484,0.723,0.491,7186,0
GO:0050794,"regulation of cellular process",18.840%,-4.399,-4.225,6.383,-7.4089,0.853,0.499,50794,0
GO:0050789,"regulation of biological process",19.373%,null,null,6.395,-6.2104,0.892,0.761,50794,1
GO:0016043,"cellular component organization",7.239%, 4.757, 5.201,5.968,-1.9617,0.753,0.581,16043,0
GO:0048589,"developmental growth",0.177%, 4.800,-4.031,4.356,-3.0855,0.530,0.588,48589,0
GO:0002009,"morphogenesis of an epithelium",0.153%, 4.997,-4.001,4.294,-3.9113,0.495,0.592,2009,0
GO:0048563,"post-embryonic animal organ morphogenesis",0.026%,null,null,3.527,-2.4535,0.482,0.962,2009,1
GO:0007560,"imaginal disc morphogenesis",0.024%,null,null,3.493,-2.4535,0.468,0.853,2009,1
GO:0060562,"epithelial tube morphogenesis",0.100%,null,null,4.108,-1.9221,0.458,0.943,2009,1
GO:0048707,"instar larval or pupal morphogenesis",0.030%,null,null,3.587,-1.4198,0.488,0.974,2009,1
GO:0048729,"tissue morphogenesis",0.180%,null,null,4.362,-4.0098,0.494,0.827,2009,1
GO:0007552,"metamorphosis",0.031%, 5.721,-3.104,3.603,-1.3475,0.517,0.599,7552,0
GO:0009886,"post-embryonic animal morphogenesis",0.035%, 5.387,-3.241,3.647,-2.5275,0.489,0.603,9886,0
GO:0002165,"instar larval or pupal development",0.035%,null,null,3.650,-1.7505,0.497,0.805,9886,1
GO:0048569,"post-embryonic animal organ development",0.036%, 5.728,-2.891,3.667,-2.5275,0.501,0.638,48569,0
GO:0032990,"cell part morphogenesis",0.174%, 4.714, 0.145,4.349,-12.1649,0.430,0.650,32990,0
GO:0030154,"cell differentiation",1.133%,null,null,5.162,-8.6091,0.421,0.851,32990,1
GO:0000902,"cell morphogenesis",0.948%,null,null,5.085,-10.8125,0.366,0.829,32990,1
GO:0000904,"cell morphogenesis involved in differentiation",0.188%,null,null,4.382,-11.7122,0.404,0.835,32990,1
GO:0032989,"cellular component morphogenesis",0.994%,null,null,5.106,-8.6556,0.372,0.886,32990,1
GO:0035239,"tube morphogenesis",0.112%, 5.444,-3.517,4.158,-2.0365,0.462,0.660,35239,0
GO:0007157,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.008%,-5.380, 5.462,3.033,-5.2166,0.921,0.675,7157,0
GO:0007165,"signal transduction",6.621%,-5.106,-1.673,5.929,-8.4737,0.669,0.675,7165,0
GO:0051716,"cellular response to stimulus",9.561%,null,null,6.089,-4.1416,0.835,0.729,7165,1
GO:0009791,"post-embryonic development",0.163%, 5.620,-3.356,4.320,-2.0151,0.467,0.681,9791,0
GO:0003008,"system process",0.660%, 6.861,-2.359,4.928,-5.4700,0.616,0.687,3008,0
GO:0050877,"neurological system process",0.502%,null,null,4.809,-3.1716,0.624,0.708,3008,1
GO:0051239,"regulation of multicellular organismal process",0.628%,null,null,4.906,-3.8860,0.568,0.724,3008,1
GO:0050793,"regulation of developmental process",1.205%, 2.556,-3.645,5.189,-1.5682,0.447,0.692,50793,0
